Age,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,,,,
0-9 years,1.4,1.1,0.7,0.5,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.1,,,,,
10-19 years,1.6,1.3,0.9,0.8,0.6,0.5,0.4,0.4,0.3,0.3,0.2,0.3,0.2,0.6,0.6,0.2,,,,,
20-29 years,1.9,1.5,1.4,1,1,0.8,0.6,0.7,0.7,0.5,0.6,0.9,1.4,6.1,7.9,3.3,,,,,
30-39 years,1.5,1.2,1.2,0.9,0.8,0.6,0.5,0.5,0.7,0.5,0.6,0.9,2.1,9.8,14.5,7.6,,,,,
40-49 years,1.3,1.2,0.9,0.9,0.6,0.5,0.4,0.5,0.6,0.3,0.4,0.8,1.5,6.6,10.4,5.9,,,,,
50-59 years,1.4,1.1,0.9,0.9,0.5,0.5,0.4,0.6,0.6,0.4,0.5,0.7,1.3,3.5,6.2,3.6,,,,,
≥60 years,1.4,1,0.9,0.9,0.7,0.6,0.5,0.6,0.7,0.5,0.5,0.6,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Year,,,,,,,,,,,,,,,,,,,,,
2006,0-9 years,10-19 years,20-29 years,30-39 years,40-49 years,50-59 years,≥60 years,,,,,,,,,,,,,,
2007,1.4,1.6,1.9,1.5,1.3,1.4,1.4,,,,,,,,,,,,,6.2,3.6
2008,1.1,1.3,1.5,1.2,1.2,1.1,1,,,,,,,,,,,,,,
2009,0.7,0.9,1.4,1.2,0.9,0.9,0.9,,,,,,,,,,,,,,
2010,0.5,0.8,1,0.9,0.9,0.9,0.9,,,,,,,,,,,,,,
2011,0.3,0.6,1,0.8,0.6,0.5,0.7,,,,,,,,,,,,,,
2012,0.3,0.5,0.8,0.6,0.5,0.5,0.6,,,,,,,,,,,,,,
2013,0.2,0.4,0.6,0.5,0.4,0.4,0.5,,,,,,,,,,,,,,
2014,0.2,0.4,0.7,0.5,0.5,0.6,0.6,,,,,,,,,,,,,,
2015,0.1,0.3,0.5,0.7,0.6,0.6,0.5,,,,,,,,,,,,,,
2016,0.1,0.3,0.6,0.5,0.3,0.4,0.6,,,,,,,,,,,,,,
2017,0.1,0.2,0.9,0.6,0.4,0.5,0.7,,,,,,,,,,,,,,
2018,0.1,0.2,1.4,0.9,0.8,0.7,0.5,,,,,,,,,,,,,,
2019,0.1,0.2,6.1,2.1,1.5,1.3,0.5,,,,,,,,,,,,,,
2020,0.3,0.6,7.9,9.8,6.6,3.5,0.6,,,,,,,,,,,,,,