CD,Species,Family,DBH1,DBH2,Time
ALPHEL,Alphonsea_elliptica,Annonaceae,2,2.7,10.46
ALPHMA,Alphonsea_maingayi,Annonaceae,5.7,5.8,10.189
ANAXJA,Anaxagorea_javanica,Annonaceae,4.1,5,10.26
ENICFU,Enicosanthum_fuscum,Annonaceae,2,1.9,10.471
GONITO,Goniothalamus_tortilipetalus,Annonaceae,3.4,3.5,10.249
KINGNE,Dendrokingstonia_nervosa,Annonaceae,3.3,3.4,11.085
MEZZLE,Mezzettia_leptopoda,Annonaceae,21.9,26.8,10.438
MITRMA,Mitrephora_maingayi,Annonaceae,2.3,2.5,10.216
MONOMA,Monocarpia_marginalis,Annonaceae,6.6,7.1,10.192
ONC1MO,Meiogyne_monosperma,Annonaceae,3.2,3.3,10.184
PHAEOP,Phaeanthus_ophthalmicus,Annonaceae,4.3,4.8,10.115
POL1GL,Polyalthia_glauca,Annonaceae,2.4,3.5,10.186
POL1JE,Polyalthia_jenkinsii,Annonaceae,4.7,6.6,10.189
POL1OB,Polyalthia_obliqua,Annonaceae,11.9,12.4,10.159
POL1RU,Polyalthia_rumphii,Annonaceae,3.2,4,10.181
POL1SC,Polyalthia_sclerophylla,Annonaceae,3.4,3.8,10.244
POL1ST,Polyalthia_stenopetala,Annonaceae,3.5,4,10.282
POL1SU,Polyalthia_sumatrana,Annonaceae,6.3,6.5,10.049
POPOPI,Popowia_pisocarpa,Annonaceae,2.4,2.9,11.093
POPOTO,Popowia_tomentosa,Annonaceae,7.5,8.2,10.477
PSE2MA,Pseuduvaria_macrophylla,Annonaceae,13.4,14.7,10.23
XYLOCA,Xylopia_caudata,Annonaceae,3.5,4.7,11.247
XYLOFO,Xylopia_oxyantha,Annonaceae,8.4,9.5,10.296
XYLOM1,Xylopia_magna,Annonaceae,4.9,5.9,10.208
XYLOM2,Xylopia_malayana,Annonaceae,3.2,3.8,10.266