CD,Name,Family,DBH1,DBH2,Time
ACROPO,Maclurodendron_porteri,Rutaceae,5.332989691,4.67628866,10.35056701
ACTIPR,Actinodaphne_pruinosa,Lauraceae,5.654268293,5.281097561,10.36267073
ADENBI,Adenanthera_bicolor,Fabaceae,6.249107143,5.808035714,10.36372321
AGLAAS,Aglaia_aspera,Meliaceae,6.808163265,6.797619048,10.33507143
AGLACO,Aglaia_cordata,Meliaceae,6.743340381,6.343128964,10.35270825
AGLAE1,Aglaia_exstipulata,Meliaceae,6.194329897,5.669072165,10.34086598
AGLAFO,Aglaia_forbesii,Meliaceae,5.817948718,6.146520147,10.36961538
AGLAGL,Aglaia_glabriflora,Meliaceae,6.847783251,5.855172414,10.35385222
AGLAGR,Aglaia_grandis,Meliaceae,6.357092199,5.769148936,10.34791844
AGLAO2,Aglaia_lawii,Meliaceae,6.84015444,6.611969112,10.34162162
AGLAOD,Aglaia_odoratissima,Meliaceae,6.761469933,6.102004454,10.3303853
AIDIWA,Aidia_wallichiana,Rubiaceae,6.134849498,5.673712375,10.33374983
ALANEB,Alangium_ebenaceum,Cornaceae,6.093063932,5.793606755,10.35473945
ALANRI,Alangium_ridleyi,Cornaceae,6.413953488,5.756395349,10.30205814
ALPHEL,Alphonsea_elliptica,Annonaceae,6.497419355,6.636774194,10.36943871
ALPHMA,Alphonsea_maingayi,Annonaceae,5.84924812,5.518984962,10.33143421
ALSEP2,Alseodaphne_peduncularis,Lauraceae,6.074358974,6.138974359,10.34550769
ALSES1,Alseodaphne_species,Lauraceae,6.704225352,5.549295775,10.32012676
ANACHE,Anacolosa_frutescens,Olacaceae,5.984320557,5.225783972,10.32403136
ANAXJA,Anaxagorea_javanica,Annonaceae,6.130054054,5.856454054,10.34118032
ANI1LA,Anisoptera_laevis,Dipterocarpaceae,7.336190476,5.918095238,10.33040952
ANI2CO,Anisophyllea_corneri,Anisophylleaceae,5.644559585,5.813989637,10.38126166
ANT1CO,Antidesma_coriaceum,Phyllanthaceae,5.421232877,5.170319635,10.3563105
ANT1CU,Antidesma_cuspidatum,Phyllanthaceae,6.747540984,5.956284153,10.34098907
APH1SU,Aphanamixis_sumatrana,Meliaceae,5.969518717,5.492513369,10.36635294
APORAU,Aporusa_aurea,Phyllanthaceae,6.095916667,5.701833333,10.34639833
APORBR,Aporusa_subcaudata,Phyllanthaceae,5.960013812,5.599585635,10.34800898
APORFA,Aporusa_falcifera,Phyllanthaceae,6.742541436,6.162246777,10.35035359
APORGL,Aporusa_globifera,Phyllanthaceae,6.339766082,6.284649123,10.34872222
APORM1,Aporusa_microstachya,Phyllanthaceae,5.982370444,5.684973965,10.34756955
APORM2,Aporusa_lucida,Phyllanthaceae,6.203475936,6.056951872,10.31862032
APORN1,Aporusa_nigricans,Phyllanthaceae,6.52754491,6.696407186,10.34586427
APORN2,Aporusa_sessiliflora,Phyllanthaceae,5.63546798,5.254679803,10.32408867
APORNE,Aporusa_nervosa,Phyllanthaceae,5.777575758,5.687878788,10.3856
APORPR,Aporusa_prainiana,Phyllanthaceae,6.357484407,6.101039501,10.34263617
APORSY,Aporusa_symplocoides,Phyllanthaceae,6.90441989,6.851381215,10.31529282
AQUIMA,Aquilaria_malaccensis,Thymelaeaceae,7.15,6.922857143,10.28267143
ARCHBU,Archidendron_bubalinum,Fabaceae,6.179694138,5.899830076,10.34740782
ARCHMI,Archidendron_microcarpum,Fabaceae,7.283431953,7.305325444,10.30663905
ARDICR,Ardisia_crassa,Myrsinaceae,6.134634365,5.794392104,10.34123351
ARDIKU,Ardisia_kunstleri,Myrsinaceae,5.908829365,5.580257937,10.34199901
ARDIPA,Ardisia_pachysandra,Myrsinaceae,7.142,6.1304,10.348484
ARTODA,Artocarpus_dadah,Moraceae,6.717307692,6.580769231,10.37475962
ARTOIS,Artocarpus_integer,Moraceae,6.753608247,6.175773196,10.37974227
ARTOLO,Artocarpus_lowii,Moraceae,6.96640625,6.36953125,10.35721875
ARTOMA,Artocarpus_maingayi,Moraceae,5.29047619,4.652380952,10.30178571
ARTONG,Artocarpus_nitidus,Moraceae,6.371947195,6.379867987,10.34183168
ARTORI,Artocarpus_rigidus,Moraceae,6.378571429,5.403896104,10.37695455
ARTOSC,Artocarpus_scortechinii,Moraceae,5.323012552,5.273640167,10.34907531
ATUNEL,Atuna_racemosa,Chrysobalanaceae,5.086956522,4.42826087,10.34027174
ATUNEX,Atuna_excelsa,Chrysobalanaceae,6.114090909,5.793181818,10.33496818
BACCPA,Baccaurea_parviflora,Phyllanthaceae,6.136133603,5.811538462,10.34514372
BACCRA,Baccaurea_racemosa,Phyllanthaceae,5.83125,5.348888889,10.34899306
BACCRE,Baccaurea_reticulata,Phyllanthaceae,5.574468085,5.471914894,10.31933617
BARRMA,Barringtonia_macrostachya,Lecythidaceae,6.154229538,5.926794696,10.34231093
BARRPE,Barringtonia_pendula,Lecythidaceae,6.352112676,6.554225352,10.3336831
BEILL1,Beilschmiedia_lucidula,Lauraceae,5.334814815,5.184444444,10.34162963
BEILP2,Beilschmiedia_palembanica,Lauraceae,7.197241379,6.204827586,10.35643448
BHESPA,Bhesa_paniculata,Celastraceae,5.32173913,5.045217391,10.34225217
BLUMCA,Blumeodendron_calophyllum,Euphorbiaceae,7.798969072,6.878350515,10.34760825
BLUMSU,Blumeodendron_subrotundifolium,Euphorbiaceae,5.878448276,5.548275862,10.33858621
BLUMTO,Blumeodendron_tokbrai,Euphorbiaceae,5.862893082,5.47672956,10.36377987
BOUEMA,Bouea_macrophylla,Anacardiaceae,6.062135922,5.715533981,10.3449466
BOUEOP,Bouea_oppositifolia,Anacardiaceae,6.311952191,5.935059761,10.34788845
BUCHSE,Buchanania_sessifolia,Anacardiaceae,5.598176718,5.165077139,10.34693689
CALODI,Calophyllum_dioscurii,Clusiaceae,6.988888889,6.118434343,10.34234848
CALOMA,Calophyllum_macrocarpum,Clusiaceae,5.583969466,4.36870229,10.37887786
CALOTE,Calophyllum_tetrapterum,Clusiaceae,7.08189911,6.616023739,10.32839169
CALOWA,Calophyllum_wallichianum,Clusiaceae,5.72748538,5.051461988,10.34710526
CANALL,Canarium_littorale_var._littorale,Burseraceae,6.198198198,5.93033033,10.33913514
CANALR,Canarium_littorale_var._rufum,Burseraceae,6.426885246,6.01420765,10.33056612
CANALT,Canarium_littorale_var._tomentosum,Burseraceae,5.985657371,5.487649402,10.34482072
CANAME,Canarium_megalanthum,Burseraceae,6.195283019,5.493396226,10.35625472
CANAPA,Canarium_patentinervium,Burseraceae,4.601204819,4.314457831,10.39680723
CANAPI,Canarium_pilosum,Burseraceae,6.022829582,5.578778135,10.35565273
CARABR,Carallia_brachiata,Rhizophoraceae,5.969339623,5.850471698,10.37311321
CASTSC,Castanopsis_schefferiana,Fagaceae,6.582644628,5.732782369,10.35253444
CHAMMA,Champereia_manillana,Opiliaceae,6.080028129,5.996343179,10.34316456
CHISER,Chisocheton_erythrocarpus,Meliaceae,5.003225806,4.891397849,10.39865591
CHISTO,Chisocheton_tomentosus,Meliaceae,6.348314607,6.250561798,10.27162921
CINNIN,Cinnamomum_iners,Lauraceae,6.379230769,6.411538462,10.34442308
CINNJA,Cinnamomum_javanicum,Lauraceae,6.409375,5.895625,10.35181875
CLE1M2,Cleistanthus_maingayi,Phyllanthaceae,5.923064516,5.352419355,10.34403548
CLE1SU,Cleistanthus_sumatranus,Phyllanthaceae,6.312411348,6.121631206,10.36717376
COELGR,Coelostegia_griffithii,Malvaceae,6.032323232,5.275757576,10.38256566
CROTAR,Croton_argyratus,Euphorbiaceae,6.702909478,6.4638466,10.33301264
CROTLA,Croton_laevifolius,Euphorbiaceae,5.307301587,5.02,10.3424
CRY1GR,Cryptocarya_griffithiana,Lauraceae,6.324,5.7664,10.361136
CRY1IN,Cryptocarya_infectoria,Lauraceae,6.219954128,5.900688073,10.3319656
CRY1KU,Cryptocarya_kurzii,Lauraceae,6.208783784,6.002702703,10.33009009
CRY1RU,Cryptocarya_rugulosa,Lauraceae,6.140298237,5.956560352,10.33226081
CTENPA,Ctenolophon_parvifolius,Ctenolophonaceae,5.395412844,4.757798165,10.30954128
CYNOMA,Cynometra_malaccensis,Fabaceae,5.862924668,5.719793205,10.36892467
DACRCO,Dacryodes_costata,Burseraceae,6.054518072,5.894578313,10.36718675
DACRLA,Dacryodes_laxa,Burseraceae,6.350088496,6.308495575,10.33523009
DACRLO,Dacryodes_longifolia,Burseraceae,6.364556962,5.808860759,10.36963291
DACRR1,Dacryodes_rugosa,Burseraceae,6.409206754,6.011213762,10.34741669
DACRR2,Dacryodes_rubiginosa,Burseraceae,6.176079734,5.759136213,10.34189701
DACRRO,Dacryodes_rostrata,Burseraceae,6.09241285,5.718933698,10.35473616